Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2020,2020,Import,Greece,China,All Commodities,TOTAL,4275097434
2020,2020,Export,Greece,China,All Commodities,TOTAL,975171509
2020,2020,Import,Greece,Colombia,All Commodities,TOTAL,15907084
2020,2020,Export,Greece,Colombia,All Commodities,TOTAL,12740504
2020,2020,Import,Greece,Comoros,All Commodities,TOTAL,13416332
2020,2020,Export,Greece,Comoros,All Commodities,TOTAL,1369969
2020,2020,Import,Greece,Congo,All Commodities,TOTAL,201246045
2020,2020,Export,Greece,Congo,All Commodities,TOTAL,1864613
2020,2020,Import,Greece,Dem. Rep. of the Congo,All Commodities,TOTAL,1201257
2020,2020,Export,Greece,Dem. Rep. of the Congo,All Commodities,TOTAL,867351
2020,2020,Export,Greece,Cook Isds,All Commodities,TOTAL,753823
2020,2020,Import,Greece,Costa Rica,All Commodities,TOTAL,11257982
2020,2020,Export,Greece,Costa Rica,All Commodities,TOTAL,1959538
2020,2020,Import,Greece,Croatia,All Commodities,TOTAL,64556760
2020,2020,Export,Greece,Croatia,All Commodities,TOTAL,319108012
2020,2020,Import,Greece,Cuba,All Commodities,TOTAL,11634190
2020,2020,Export,Greece,Cuba,All Commodities,TOTAL,3234222
2020,2020,Import,Greece,Cyprus,All Commodities,TOTAL,382472863
2020,2020,Export,Greece,Cyprus,All Commodities,TOTAL,2096835912
2020,2020,Import,Greece,Czechia,All Commodities,TOTAL,482797447
2020,2020,Export,Greece,Czechia,All Commodities,TOTAL,294224875
2020,2020,Import,Greece,Benin,All Commodities,TOTAL,375
2020,2020,Export,Greece,Benin,All Commodities,TOTAL,382331
2020,2020,Import,Greece,Denmark,All Commodities,TOTAL,589634711
2020,2020,Export,Greece,Denmark,All Commodities,TOTAL,252510495
2020,2020,Export,Greece,Dominica,All Commodities,TOTAL,9544
2020,2020,Import,Greece,Dominican Rep.,All Commodities,TOTAL,1538324
2020,2020,Export,Greece,Dominican Rep.,All Commodities,TOTAL,5807549
2020,2020,Import,Greece,Ecuador,All Commodities,TOTAL,152946672
2020,2020,Export,Greece,Ecuador,All Commodities,TOTAL,9646780
2020,2020,Import,Greece,El Salvador,All Commodities,TOTAL,2931392
2020,2020,Export,Greece,El Salvador,All Commodities,TOTAL,1344910
2020,2020,Export,Greece,Equatorial Guinea,All Commodities,TOTAL,1579018
2020,2020,Import,Greece,Ethiopia,All Commodities,TOTAL,5561901
2020,2020,Export,Greece,Ethiopia,All Commodities,TOTAL,6745835
2020,2020,Import,Greece,Estonia,All Commodities,TOTAL,16031891
2020,2020,Export,Greece,Estonia,All Commodities,TOTAL,21050336
2020,2020,Import,Greece,Faeroe Isds,All Commodities,TOTAL,168493
2020,2020,Export,Greece,Faeroe Isds,All Commodities,TOTAL,126948
2020,2020,Export,Greece,Falkland Isds (Malvinas),All Commodities,TOTAL,14384642
2020,2020,Export,Greece,Fiji,All Commodities,TOTAL,57945
2020,2020,Import,Greece,Finland,All Commodities,TOTAL,169949195
2020,2020,Export,Greece,Finland,All Commodities,TOTAL,117912317
2020,2020,Import,Greece,France,All Commodities,TOTAL,2357610291
2020,2020,Export,Greece,France,All Commodities,TOTAL,2025441765
2020,2020,Import,Greece,French Polynesia,All Commodities,TOTAL,772021
2020,2020,Export,Greece,French Polynesia,All Commodities,TOTAL,122586
2020,2020,Import,Greece,Djibouti,All Commodities,TOTAL,643
2020,2020,Export,Greece,Djibouti,All Commodities,TOTAL,357129
2020,2020,Import,Greece,Gabon,All Commodities,TOTAL,19752001
2020,2020,Export,Greece,Gabon,All Commodities,TOTAL,571324
2020,2020,Import,Greece,Georgia,All Commodities,TOTAL,6485117
2020,2020,Export,Greece,Georgia,All Commodities,TOTAL,69074098
2020,2020,Import,Greece,Gambia,All Commodities,TOTAL,182048
2020,2020,Export,Greece,Gambia,All Commodities,TOTAL,8807
2020,2020,Import,Greece,State of Palestine,All Commodities,TOTAL,748571
2020,2020,Export,Greece,State of Palestine,All Commodities,TOTAL,946078
2020,2020,Import,Greece,Germany,All Commodities,TOTAL,6605885694
2020,2020,Export,Greece,Germany,All Commodities,TOTAL,2686288605
2020,2020,Import,Greece,Ghana,All Commodities,TOTAL,7512957
2020,2020,Export,Greece,Ghana,All Commodities,TOTAL,14458533
2020,2020,Import,Greece,Gibraltar,All Commodities,TOTAL,12270877
2020,2020,Export,Greece,Gibraltar,All Commodities,TOTAL,496517503
2020,2020,Export,Greece,Greenland,All Commodities,TOTAL,1548
2020,2020,Export,Greece,Grenada,All Commodities,TOTAL,79573
2020,2020,Export,Greece,Guam,All Commodities,TOTAL,10037
2020,2020,Import,Greece,Guatemala,All Commodities,TOTAL,3210042
2020,2020,Export,Greece,Guatemala,All Commodities,TOTAL,6203933
2020,2020,Import,Greece,Guinea,All Commodities,TOTAL,5909283
2020,2020,Export,Greece,Guinea,All Commodities,TOTAL,3063665
2020,2020,Import,Greece,Guyana,All Commodities,TOTAL,291890
2020,2020,Export,Greece,Guyana,All Commodities,TOTAL,335075
2020,2020,Import,Greece,Haiti,All Commodities,TOTAL,62433
2020,2020,Export,Greece,Haiti,All Commodities,TOTAL,95522
2020,2020,Export,Greece,Holy See (Vatican City State),All Commodities,TOTAL,886
2020,2020,Import,Greece,Honduras,All Commodities,TOTAL,3267834
2020,2020,Export,Greece,Honduras,All Commodities,TOTAL,1608366
2020,2020,Import,Greece,"China, Hong Kong SAR",All Commodities,TOTAL,32935557
2020,2020,Export,Greece,"China, Hong Kong SAR",All Commodities,TOTAL,87640813
2020,2020,Import,Greece,Hungary,All Commodities,TOTAL,574817978
2020,2020,Export,Greece,Hungary,All Commodities,TOTAL,282975664
2020,2020,Import,Greece,Iceland,All Commodities,TOTAL,2462307
2020,2020,Export,Greece,Iceland,All Commodities,TOTAL,3153222
2020,2020,Import,Greece,Indonesia,All Commodities,TOTAL,215716382
2020,2020,Export,Greece,Indonesia,All Commodities,TOTAL,55637753
2020,2020,Import,Greece,Iran,All Commodities,TOTAL,9821248
2020,2020,Export,Greece,Iran,All Commodities,TOTAL,18954186
2020,2020,Import,Greece,Iraq,All Commodities,TOTAL,2283534256
2020,2020,Export,Greece,Iraq,All Commodities,TOTAL,69278518
2020,2020,Import,Greece,Ireland,All Commodities,TOTAL,1994814222
2020,2020,Export,Greece,Ireland,All Commodities,TOTAL,114193432
