Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2020,2020,Export,Greece,Burkina Faso,All Commodities,TOTAL,5297337
2020,2020,Import,Greece,Uruguay,All Commodities,TOTAL,3328659
2020,2020,Export,Greece,Uruguay,All Commodities,TOTAL,4309855
2020,2020,Import,Greece,Uzbekistan,All Commodities,TOTAL,2277932
2020,2020,Export,Greece,Uzbekistan,All Commodities,TOTAL,3973076
2020,2020,Import,Greece,Venezuela,All Commodities,TOTAL,21356095
2020,2020,Export,Greece,Venezuela,All Commodities,TOTAL,2513340
2020,2020,Export,Greece,Wallis and Futuna Isds,All Commodities,TOTAL,7218
2020,2020,Export,Greece,Samoa,All Commodities,TOTAL,18344
2020,2020,Import,Greece,Yemen,All Commodities,TOTAL,3044306
2020,2020,Export,Greece,Yemen,All Commodities,TOTAL,7205811
2020,2020,Import,Greece,Zambia,All Commodities,TOTAL,11191683
2020,2020,Export,Greece,Zambia,All Commodities,TOTAL,1326734
2020,2020,Import,Greece,"Areas, nes",All Commodities,TOTAL,1677379749
2020,2020,Export,Greece,"Areas, nes",All Commodities,TOTAL,452862105
